id,category,activity,unit,emission_factor,factor_unit,region,source,reference_year,notes
1,transportation,petrol_car_km,km,0.1705,kg CO2e/km,Global,UK DEFRA / DESNZ,2023,Average petrol car (medium size) direct exhaust emissions
2,transportation,diesel_car_km,km,0.1684,kg CO2e/km,Global,UK DEFRA / DESNZ,2023,Average diesel car (medium size) direct emissions
3,transportation,motorcycle_km,km,0.1030,kg CO2e/km,Global,UK DEFRA / DESNZ,2023,Medium 2-wheeler/scooter average per passenger-km
4,transportation,electric_car_km,km,0.0530,kg CO2e/km,India,CEA India v19 & BEE,2023,Electric car assuming 0.15 kWh/km consumption with Indian grid intensity
5,transportation,city_bus_km,passenger_km,0.0890,kg CO2e/passenger-km,India,ARAI / MoRTH India,2022,Average local municipal bus per passenger-km
6,transportation,train_km,passenger_km,0.0350,kg CO2e/passenger-km,India,Indian Railways / BEE,2023,Electrified rail network average per passenger-km
7,transportation,flight_domestic_km,passenger_km,0.2540,kg CO2e/passenger-km,Global,UK DEFRA / ICAO,2023,Domestic short-haul flight with radiative forcing index
8,transportation,flight_longhaul_km,passenger_km,0.1950,kg CO2e/passenger-km,Global,UK DEFRA / ICAO,2023,Long-haul economy passenger flight including high-altitude factor
9,transportation,petrol_litre,litre,2.3140,kg CO2e/litre,Global,IPCC Guidelines / DEFRA,2023,Direct fuel combustion factor for standard commercial petrol
10,transportation,diesel_litre,litre,2.6870,kg CO2e/litre,Global,IPCC Guidelines / DEFRA,2023,Direct combustion factor for ultra-low sulphur diesel
11,energy,electricity_grid,kWh,0.8200,kg CO2e/kWh,India,CEA CO2 Baseline Database v19,2023,Weighted average emission factor of the Indian national grid
12,energy,electricity_grid_global,kWh,0.4750,kg CO2e/kWh,Global,IEA (International Energy Agency),2023,World average grid carbon intensity
13,energy,solar_rooftop_offset,kWh,0.0400,kg CO2e/kWh,Global,IPCC Special Report on Renewables,2022,Lifecycle carbon intensity of rooftop solar PV
14,household_fuel,lpg_kg,kg,2.9830,kg CO2e/kg,Global,IPCC / DEFRA,2023,Direct combustion of liquefied petroleum gas (14.2kg cyl = ~42.36 kg CO2e)
15,household_fuel,natural_gas_scm,m3,1.9680,kg CO2e/m3,Global,DEFRA / US EPA,2023,Standard cubic meter of piped natural gas (PNG)
16,food,diet_heavy_meat,day,7.1900,kg CO2e/day,Global,Poore & Nemecek / Our World in Data,2018,Diet with >100g meat per day (approx 215 kg CO2e/month)
17,food,diet_medium_meat,day,5.6300,kg CO2e/day,Global,Poore & Nemecek / Our World in Data,2018,Diet with 50-100g meat per day (approx 169 kg CO2e/month)
18,food,diet_pescatarian,day,3.9100,kg CO2e/day,Global,Scarborough et al. / Oxford,2014,Fish-eating diet with dairy and eggs (approx 117 kg CO2e/month)
19,food,diet_vegetarian,day,3.8100,kg CO2e/day,India,Poore & Nemecek / Oxford,2018,Vegetarian diet including dairy (approx 114 kg CO2e/month)
20,food,diet_vegan,day,2.8900,kg CO2e/day,Global,Poore & Nemecek / Oxford,2018,Exclusively plant-based diet (approx 86.7 kg CO2e/month)
21,waste,general_landfill_waste,kg,0.5860,kg CO2e/kg,Global,IPCC / World Bank What a Waste 2.0,2021,Municipal solid waste sent to open/unmanaged landfill (methane generation)
22,waste,recycled_material_credit,kg,-0.3200,kg CO2e/kg,Global,US EPA WARM Model,2023,Avoided lifecycle emissions through dry waste recycling (paper, plastic, metals)
23,waste,composted_organic_credit,kg,-0.1800,kg CO2e/kg,Global,IPCC Guidelines / DEFRA,2023,Avoided methane emissions from aerobic decentralized composting
