month_idx,transport_km,vehicle_efficiency_factor,electricity_kwh,lpg_kg,diet_code,waste_kg,recycling_pct,lag1_co2e,rolling_3m_co2e,total_co2e
1,450,0.1705,180,14.2,3,40,10,310.5,315.0,324.23
2,420,0.1705,160,14.2,3,38,15,324.23,317.36,303.49
3,480,0.1705,190,14.2,3,42,10,303.49,312.74,334.84
4,510,0.1705,220,14.2,3,45,12,334.84,320.85,364.57
5,530,0.1705,260,14.2,3,48,10,364.57,334.30,400.77
6,490,0.1705,280,14.2,3,46,15,400.77,366.73,409.85
7,460,0.1705,270,14.2,3,44,12,409.85,391.73,396.48
8,470,0.1705,250,14.2,3,45,15,396.48,402.37,381.84
9,480,0.1705,210,14.2,3,43,18,381.84,396.06,348.65
10,520,0.1705,190,14.2,3,44,15,348.65,375.66,341.36
11,540,0.1705,170,14.2,3,42,12,341.36,357.28,331.42
12,580,0.1705,180,14.2,3,46,10,331.42,340.48,346.74
1,250,0.1030,120,7.1,3,25,25,190.2,192.0,192.56
2,240,0.1030,110,7.1,3,24,30,192.56,191.38,181.74
3,280,0.1030,130,7.1,3,26,20,181.74,188.10,202.48
4,300,0.1030,150,7.1,3,28,25,202.48,192.26,220.85
5,320,0.1030,180,7.1,3,30,20,220.85,201.69,247.51
6,310,0.1030,190,7.1,3,29,25,247.51,223.61,254.63
7,290,0.1030,185,7.1,3,28,30,254.63,240.99,248.37
8,300,0.1030,170,7.1,3,27,25,248.37,250.17,237.10
9,310,0.1030,140,7.1,3,26,28,237.10,246.70,213.38
10,320,0.1030,130,7.1,3,28,25,213.38,232.95,206.31
11,330,0.1030,115,7.1,3,25,30,206.31,218.93,194.95
12,350,0.1030,125,7.1,3,27,25,194.95,204.88,205.15
1,600,0.1684,250,14.2,4,55,5,440.0,442.0,463.85
2,580,0.1684,230,14.2,4,52,8,463.85,451.92,443.98
3,620,0.1684,260,14.2,4,58,5,443.98,449.27,475.49
4,650,0.1684,300,14.2,4,60,5,475.49,461.10,513.51
5,680,0.1684,350,14.2,4,64,5,513.51,477.66,559.62
6,640,0.1684,380,14.2,4,62,8,559.62,515.54,577.26
7,610,0.1684,360,14.2,4,60,5,577.26,550.13,555.77
8,620,0.1684,340,14.2,4,61,6,555.77,564.21,541.07
9,630,0.1684,290,14.2,4,58,8,541.07,558.03,501.79
10,660,0.1684,270,14.2,4,59,5,501.79,532.87,490.49
11,680,0.1684,240,14.2,4,56,6,490.49,511.11,469.15
12,720,0.1684,260,14.2,4,62,5,469.15,487.14,492.35
1,180,0.0530,90,0.0,2,18,40,120.0,121.5,123.44
2,170,0.0530,85,0.0,2,16,45,123.44,121.72,118.79
3,200,0.0530,95,0.0,2,19,40,118.79,120.74,128.75
4,210,0.0530,110,0.0,2,20,38,128.75,123.66,141.60
5,220,0.0530,130,0.0,2,22,35,141.60,129.71,158.55
6,210,0.0530,140,0.0,2,21,40,158.55,143.00,166.20
7,190,0.0530,135,0.0,2,20,42,166.20,155.45,161.02
8,200,0.0530,125,0.0,2,19,40,161.02,161.92,153.38
9,210,0.0530,105,0.0,2,18,45,153.38,160.20,137.50
10,220,0.0530,100,0.0,2,19,42,137.50,150.63,133.95
11,230,0.0530,90,0.0,2,17,45,133.95,141.61,125.26
12,240,0.0530,95,0.0,2,18,40,125.26,132.23,129.90
1,350,0.0890,140,14.2,3,32,20,225.0,228.0,233.15
2,330,0.0890,130,14.2,3,30,22,233.15,228.72,223.17
3,370,0.0890,150,14.2,3,34,20,223.17,227.11,243.13
4,390,0.0890,175,14.2,3,36,18,243.13,233.15,265.41
5,410,0.0890,210,14.2,3,38,18,265.41,243.90,295.89
6,390,0.0890,225,14.2,3,37,20,295.89,268.14,306.41
7,370,0.0890,215,14.2,3,35,22,306.41,289.40,296.43
8,380,0.0890,195,14.2,3,35,20,296.43,299.58,280.94
9,390,0.0890,165,14.2,3,34,22,280.94,294.59,257.23
10,400,0.0890,150,14.2,3,35,20,257.23,278.20,245.80
11,410,0.0890,135,14.2,3,33,22,245.80,261.32,234.39
12,430,0.0890,145,14.2,3,35,20,234.39,245.81,244.37
1,800,0.1705,320,28.4,5,70,5,650.0,655.0,676.84
2,750,0.1705,300,28.4,5,65,8,676.84,663.95,651.92
3,820,0.1705,340,28.4,5,72,5,651.92,659.59,697.10
4,850,0.1705,400,28.4,5,75,5,697.10,675.29,751.48
5,880,0.1705,480,28.4,5,80,5,751.48,700.17,822.38
6,840,0.1705,520,28.4,5,78,8,822.38,756.99,848.38
7,810,0.1705,490,28.4,5,75,5,848.38,807.41,818.67
8,820,0.1705,450,28.4,5,76,6,818.67,829.81,787.43
9,830,0.1705,380,28.4,5,73,8,787.43,818.16,731.79
10,860,0.1705,350,28.4,5,74,5,731.79,779.30,712.28
11,880,0.1705,310,28.4,5,71,6,712.28,743.83,682.90
12,920,0.1705,330,28.4,5,76,5,682.90,708.99,713.43
1,150,0.0350,70,0.0,1,15,50,90.0,91.0,93.45
2,140,0.0350,65,0.0,1,14,55,93.45,91.48,89.14
3,160,0.0350,75,0.0,1,16,50,89.14,90.86,97.64
4,170,0.0350,85,0.0,1,17,48,97.64,93.41,106.34
5,180,0.0350,105,0.0,1,19,45,106.34,97.71,123.23
6,170,0.0350,115,0.0,1,18,50,123.23,109.07,130.88
7,160,0.0350,110,0.0,1,17,52,130.88,120.15,126.54
8,165,0.0350,100,0.0,1,16,50,126.54,126.88,118.52
9,170,0.0350,80,0.0,1,15,55,118.52,125.31,102.10
10,175,0.0350,75,0.0,1,16,52,102.10,115.72,98.24
11,180,0.0350,68,0.0,1,15,55,98.24,106.29,92.50
12,190,0.0350,72,0.0,1,16,50,92.50,97.61,96.09
